date,channel,is_festival,festival_name,uv,orders,gmv,conversion_rate,aov,refund_rate
2024-07-01,线下门店导流,False,,1667,36,6487.43,0.0216,180.21,0.0816
2024-07-01,短信营销,False,,1157,33,5204.94,0.0285,157.73,0.0662
2024-07-01,微信推文,False,,1191,27,4683.94,0.0227,173.48,0.0681
2024-07-01,私域社群,False,,1346,39,7028.67,0.029,180.22,0.0637
2024-07-01,App自然流量,False,,2088,40,6960.32,0.0192,174.01,0.0621
2024-07-02,线下门店导流,False,,1759,25,3931.07,0.0142,157.24,0.1147
2024-07-02,短信营销,False,,1040,23,3721.93,0.0221,161.82,0.0879
2024-07-02,微信推文,False,,1381,22,3887.96,0.0159,176.73,0.0742
2024-07-02,私域社群,False,,1364,33,5566.58,0.0242,168.68,0.0806
2024-07-02,App自然流量,False,,2689,37,6061.52,0.0138,163.82,0.07
2024-07-03,线下门店导流,False,,1859,37,6634.78,0.0199,179.32,0.1163
2024-07-03,短信营销,False,,1026,25,4082.46,0.0244,163.3,0.0864
2024-07-03,微信推文,False,,1389,27,5106.57,0.0194,189.13,0.0806
2024-07-03,私域社群,False,,1593,45,7868.94,0.0282,174.87,0.0828
2024-07-03,App自然流量,False,,2658,41,7137.54,0.0154,174.09,0.0783
2024-07-04,线下门店导流,False,,1874,33,7639.74,0.0176,231.51,0.082
2024-07-04,短信营销,False,,1185,28,7126.79,0.0236,254.53,0.0925
2024-07-04,微信推文,False,,1502,30,5834.4,0.02,194.48,0.0829
2024-07-04,私域社群,False,,1688,44,10191.4,0.0261,231.62,0.1064
2024-07-04,App自然流量,False,,3609,51,10949.29,0.0141,214.69,0.0681
2024-07-05,线下门店导流,False,,3843,79,36766.99,0.0206,465.4,0.0887
2024-07-05,短信营销,False,,2050,56,25398.41,0.0273,453.54,0.0757
2024-07-05,微信推文,False,,2155,52,23771.07,0.0241,457.14,0.076
2024-07-05,私域社群,False,,2687,100,47443.53,0.0372,474.44,0.0662
2024-07-05,App自然流量,False,,4350,82,37854.42,0.0189,461.64,0.0957
2024-07-06,线下门店导流,False,,6884,176,80348.42,0.0256,456.53,0.0877
2024-07-06,短信营销,False,,3250,109,46930.38,0.0335,430.55,0.0726
2024-07-06,微信推文,False,,3874,131,58571.59,0.0338,447.11,0.0933
2024-07-06,私域社群,False,,5332,211,96244.42,0.0396,456.13,0.0818
2024-07-06,App自然流量,False,,8207,200,80233.16,0.0244,401.17,0.0779
2024-07-07,线下门店导流,False,,6652,206,93077.26,0.031,451.83,0.0774
2024-07-07,短信营销,False,,4046,154,64944.33,0.0381,421.72,0.0636
2024-07-07,微信推文,False,,4924,168,72467.1,0.0341,431.35,0.1074
2024-07-07,私域社群,False,,5436,242,99046.34,0.0445,409.28,0.124
2024-07-07,App自然流量,False,,8302,234,105426.89,0.0282,450.54,0.0854
2024-07-08,线下门店导流,False,,6968,225,90403.76,0.0323,401.79,0.0749
2024-07-08,短信营销,False,,3913,154,65975.42,0.0394,428.41,0.089
2024-07-08,微信推文,False,,4961,169,70275.9,0.0341,415.83,0.0916
2024-07-08,私域社群,False,,5773,267,121534.35,0.0462,455.18,0.0945
2024-07-08,App自然流量,False,,9198,273,120964.95,0.0297,443.1,0.0748
2024-07-09,线下门店导流,False,,6788,252,97750.39,0.0371,387.9,0.0765
2024-07-09,短信营销,False,,4088,187,75604.36,0.0457,404.3,0.0769
2024-07-09,微信推文,False,,4513,214,90711.56,0.0474,423.89,0.0891
2024-07-09,私域社群,False,,5558,301,116100.12,0.0542,385.71,0.098
2024-07-09,App自然流量,False,,9835,341,137300.52,0.0347,402.64,0.09
2024-07-10,线下门店导流,False,,6236,248,98674.72,0.0398,397.88,0.1047
2024-07-10,短信营销,False,,3927,157,67552.09,0.04,430.27,0.0821
2024-07-10,微信推文,False,,4384,179,69631.33,0.0408,389.0,0.0972
2024-07-10,私域社群,False,,5642,294,108446.33,0.0521,368.87,0.0878
2024-07-10,App自然流量,False,,9941,309,126778.07,0.0311,410.29,0.0902
2024-07-11,线下门店导流,False,,4777,148,51883.83,0.031,350.57,0.1017
2024-07-11,短信营销,False,,2389,79,27286.57,0.0331,345.4,0.0601
2024-07-11,微信推文,False,,3115,95,34207.33,0.0305,360.08,0.109
2024-07-11,私域社群,False,,3208,142,48610.67,0.0443,342.33,0.0631
2024-07-11,App自然流量,False,,7014,168,54846.34,0.024,326.47,0.1023
2024-07-12,线下门店导流,False,,4251,117,31529.99,0.0275,269.49,0.0742
2024-07-12,短信营销,False,,2666,93,24810.49,0.0349,266.78,0.0764
2024-07-12,微信推文,False,,3080,92,27303.1,0.0299,296.77,0.1043
2024-07-12,私域社群,False,,3784,154,40141.05,0.0407,260.66,0.0718
2024-07-12,App自然流量,False,,5842,143,37356.77,0.0245,261.24,0.0612
2024-07-13,线下门店导流,False,,4093,117,26775.81,0.0286,228.85,0.1176
2024-07-13,短信营销,False,,2265,80,20586.13,0.0353,257.33,0.0773
2024-07-13,微信推文,False,,3414,123,28964.27,0.036,235.48,0.082
2024-07-13,私域社群,False,,4245,175,40140.91,0.0412,229.38,0.0734
2024-07-13,App自然流量,False,,6966,173,38355.0,0.0248,221.71,0.0703
2024-07-14,线下门店导流,False,,5696,158,47488.37,0.0277,300.56,0.0722
2024-07-14,短信营销,False,,3324,133,36118.04,0.04,271.56,0.0825
2024-07-14,微信推文,False,,3530,119,34765.68,0.0337,292.15,0.0858
2024-07-14,私域社群,False,,3926,181,51277.73,0.0461,283.3,0.0838
2024-07-14,App自然流量,False,,7545,207,53908.83,0.0274,260.43,0.0829
2024-07-15,线下门店导流,False,,5005,161,48121.88,0.0322,298.89,0.0932
2024-07-15,短信营销,False,,3140,128,38930.37,0.0408,304.14,0.1059
2024-07-15,微信推文,False,,3622,139,40324.25,0.0384,290.1,0.0518
2024-07-15,私域社群,False,,4039,185,58817.41,0.0458,317.93,0.0855
2024-07-15,App自然流量,False,,7709,219,65882.55,0.0284,300.83,0.1142
2024-07-16,线下门店导流,False,,5757,192,53944.55,0.0334,280.96,0.0739
2024-07-16,短信营销,False,,3045,131,38280.27,0.043,292.22,0.0733
2024-07-16,微信推文,False,,4081,157,39914.28,0.0385,254.23,0.0753
2024-07-16,私域社群,False,,4452,229,69797.43,0.0514,304.79,0.1068
2024-07-16,App自然流量,False,,8022,240,74496.02,0.0299,310.4,0.0794
2024-07-17,线下门店导流,False,,5701,200,64361.92,0.0351,321.81,0.0723
2024-07-17,短信营销,False,,3043,136,39983.55,0.0447,294.0,0.106
2024-07-17,微信推文,False,,4218,161,47624.89,0.0382,295.81,0.0996
2024-07-17,私域社群,False,,4171,186,52968.01,0.0446,284.77,0.0986
2024-07-17,App自然流量,False,,8344,257,75190.67,0.0308,292.57,0.0985
2024-07-18,线下门店导流,False,,4465,136,47984.34,0.0305,352.83,0.0835
2024-07-18,短信营销,False,,2808,111,34547.4,0.0395,311.24,0.0708
2024-07-18,微信推文,False,,3308,122,42657.77,0.0369,349.65,0.0777
2024-07-18,私域社群,False,,3707,172,51480.58,0.0464,299.31,0.0768
2024-07-18,App自然流量,False,,6107,164,49027.77,0.0269,298.95,0.0852
2024-07-19,线下门店导流,False,,4227,107,39444.25,0.0253,368.64,0.0745
2024-07-19,短信营销,False,,2631,92,30301.31,0.035,329.36,0.0832
2024-07-19,微信推文,False,,2969,97,31412.47,0.0327,323.84,0.0735
2024-07-19,私域社群,False,,3738,152,50425.08,0.0407,331.74,0.0886
2024-07-19,App自然流量,False,,7051,169,63248.28,0.024,374.25,0.0828
2024-07-20,线下门店导流,False,,5704,172,54430.89,0.0302,316.46,0.0994
2024-07-20,短信营销,False,,3114,108,35608.81,0.0347,329.71,0.1028
2024-07-20,微信推文,False,,3970,140,42776.11,0.0353,305.54,0.0896
2024-07-20,私域社群,False,,4206,187,59669.38,0.0445,319.09,0.0517
2024-07-20,App自然流量,False,,8167,209,56964.74,0.0256,272.56,0.0911
2024-07-21,线下门店导流,False,,5769,170,56043.39,0.0295,329.67,0.0831
2024-07-21,短信营销,False,,3233,116,39439.48,0.0359,340.0,0.0892
2024-07-21,微信推文,False,,3835,124,38664.07,0.0323,311.81,0.0735
2024-07-21,私域社群,False,,4682,182,60232.3,0.0389,330.95,0.0834
2024-07-21,App自然流量,False,,8107,196,63041.54,0.0242,321.64,0.081
2024-07-22,线下门店导流,False,,3653,109,28968.18,0.0298,265.76,0.0837
2024-07-22,短信营销,False,,1838,63,17067.9,0.0343,270.92,0.0933
2024-07-22,微信推文,False,,2094,70,18006.44,0.0334,257.23,0.073
2024-07-22,私域社群,False,,2741,109,29601.09,0.0398,271.57,0.0676
2024-07-22,App自然流量,False,,5046,124,34757.76,0.0246,280.3,0.0974
2024-07-23,线下门店导流,False,,3938,130,33815.39,0.033,260.12,0.0557
2024-07-23,短信营销,False,,2682,114,24551.55,0.0425,215.36,0.0728
2024-07-23,微信推文,False,,2681,105,25235.22,0.0392,240.34,0.064
2024-07-23,私域社群,False,,3723,187,49931.81,0.0502,267.02,0.0975
2024-07-23,App自然流量,False,,6403,203,54865.84,0.0317,270.28,0.0548
2024-07-24,线下门店导流,False,,4904,154,34558.46,0.0314,224.41,0.1016
2024-07-24,短信营销,False,,2509,106,24238.61,0.0422,228.67,0.0512
2024-07-24,微信推文,False,,3425,124,32874.39,0.0362,265.12,0.0892
2024-07-24,私域社群,False,,3596,173,47119.51,0.0481,272.37,0.1027
2024-07-24,App自然流量,False,,6435,192,45400.96,0.0298,236.46,0.1012
2024-07-25,线下门店导流,False,,4533,134,30005.49,0.0296,223.92,0.0954
2024-07-25,短信营销,False,,2479,99,25741.06,0.0399,260.01,0.1165
2024-07-25,微信推文,False,,3233,107,26519.94,0.0331,247.85,0.0506
2024-07-25,私域社群,False,,3603,143,34282.9,0.0397,239.74,0.0846
2024-07-25,App自然流量,False,,5451,142,36643.01,0.0261,258.05,0.0654
2024-07-26,线下门店导流,False,,4354,143,29955.78,0.0328,209.48,0.0731
2024-07-26,短信营销,False,,2398,90,19743.93,0.0375,219.38,0.0882
2024-07-26,微信推文,False,,3558,121,28959.94,0.034,239.34,0.1048
2024-07-26,私域社群,False,,3865,163,38846.99,0.0422,238.33,0.0698
2024-07-26,App自然流量,False,,6311,194,44078.13,0.0307,227.21,0.0605
2024-07-27,线下门店导流,False,,5477,163,32812.27,0.0298,201.3,0.0562
2024-07-27,短信营销,False,,2958,108,23614.97,0.0365,218.66,0.0972
2024-07-27,微信推文,False,,3580,129,29237.23,0.036,226.65,0.0906
2024-07-27,私域社群,False,,4255,182,38461.6,0.0428,211.33,0.0963
2024-07-27,App自然流量,False,,7470,187,39503.36,0.025,211.25,0.0967
2024-07-28,线下门店导流,False,,6088,207,46769.47,0.034,225.94,0.0895
2024-07-28,短信营销,False,,3176,138,31233.17,0.0435,226.33,0.1004
2024-07-28,微信推文,False,,4061,160,34637.05,0.0394,216.48,0.0742
2024-07-28,私域社群,False,,4905,219,45965.28,0.0446,209.89,0.0688
2024-07-28,App自然流量,False,,8692,209,41724.35,0.024,199.64,0.068
2024-07-29,线下门店导流,False,,5910,209,47790.28,0.0354,228.66,0.0745
2024-07-29,短信营销,False,,3289,155,36910.62,0.0471,238.13,0.072
2024-07-29,微信推文,False,,3672,143,35780.68,0.0389,250.21,0.0782
2024-07-29,私域社群,False,,5025,257,59321.92,0.0511,230.82,0.086
2024-07-29,App自然流量,False,,9020,264,69650.34,0.0293,263.83,0.0698
2024-07-30,线下门店导流,False,,5317,207,49955.57,0.0389,241.33,0.0828
2024-07-30,短信营销,False,,3164,160,38669.1,0.0506,241.68,0.0832
2024-07-30,微信推文,False,,3394,143,34564.3,0.0421,241.71,0.0846
2024-07-30,私域社群,False,,4554,255,68108.01,0.056,267.09,0.0878
2024-07-30,App自然流量,False,,7232,222,48422.18,0.0307,218.12,0.0721
2024-07-31,线下门店导流,False,,5894,213,53268.5,0.0361,250.09,0.0671
2024-07-31,短信营销,False,,2900,134,33046.25,0.0462,246.61,0.0852
2024-07-31,微信推文,False,,3183,125,32359.33,0.0393,258.87,0.096
2024-07-31,私域社群,False,,4197,182,44862.1,0.0434,246.5,0.0945
2024-07-31,App自然流量,False,,6498,181,43543.51,0.0279,240.57,0.0786
2024-08-01,线下门店导流,False,,5002,153,41689.5,0.0306,272.48,0.0689
2024-08-01,短信营销,False,,2799,105,25924.1,0.0375,246.9,0.0586
2024-08-01,微信推文,False,,3009,107,25639.94,0.0356,239.63,0.0977
2024-08-01,私域社群,False,,3945,183,45554.36,0.0464,248.93,0.0942
2024-08-01,App自然流量,False,,8120,252,64716.61,0.031,256.81,0.0669
2024-08-02,线下门店导流,False,,4935,157,43834.42,0.0318,279.2,0.0891
2024-08-02,短信营销,False,,2978,118,31746.74,0.0396,269.04,0.0969
2024-08-02,微信推文,False,,3619,115,31765.26,0.0318,276.22,0.0791
2024-08-02,私域社群,False,,4340,219,56484.67,0.0505,257.92,0.0789
2024-08-02,App自然流量,False,,7228,186,47437.96,0.0257,255.04,0.093
2024-08-03,线下门店导流,False,,5991,191,64107.3,0.0319,335.64,0.0816
2024-08-03,短信营销,False,,3647,162,53030.72,0.0444,327.35,0.0636
2024-08-03,微信推文,False,,4228,149,46714.12,0.0352,313.52,0.0573
2024-08-03,私域社群,False,,4635,241,81953.09,0.052,340.05,0.0586
2024-08-03,App自然流量,False,,8258,213,71663.09,0.0258,336.45,0.0817
2024-08-04,线下门店导流,False,,5694,172,62588.49,0.0302,363.89,0.0681
2024-08-04,短信营销,False,,3532,133,41022.89,0.0377,308.44,0.0696
2024-08-04,微信推文,False,,4386,149,52735.41,0.034,353.93,0.1081
2024-08-04,私域社群,False,,4861,191,70486.96,0.0393,369.04,0.0927
2024-08-04,App自然流量,False,,9278,231,75456.39,0.0249,326.65,0.1041
2024-08-05,线下门店导流,False,,5829,193,63352.87,0.0331,328.25,0.0734
2024-08-05,短信营销,False,,3345,149,48929.48,0.0445,328.39,0.0928
2024-08-05,微信推文,False,,3853,145,48977.05,0.0376,337.77,0.0848
2024-08-05,私域社群,False,,4090,219,72380.84,0.0535,330.51,0.0856
2024-08-05,App自然流量,False,,7622,232,75110.2,0.0304,323.75,0.0789
2024-08-06,线下门店导流,False,,5920,209,64777.73,0.0353,309.94,0.0784
2024-08-06,短信营销,False,,3717,158,49670.94,0.0425,314.37,0.0794
2024-08-06,微信推文,False,,4768,186,55788.81,0.039,299.94,0.0798
2024-08-06,私域社群,False,,5199,258,77043.82,0.0496,298.62,0.0594
2024-08-06,App自然流量,False,,7861,222,72174.69,0.0282,325.11,0.0775
2024-08-07,线下门店导流,False,,5953,176,55841.03,0.0296,317.28,0.0892
