campaign_id,brand,category,sub_category,sku_id,product_name,campaign_type,start_date,end_date,duration_days,base_price,final_price,discount_rate,stock_qty,uv,ctr,conversion_rate,orders,gmv,sell_through_rate,refund_rate,overpriced_flag,weak_listing_flag
CAMP00001,耐克,运动户外,速干T恤,耐克_0061,耐克透气速干T恤,常规场次,2024-07-06,2024-07-10,4,931.0,837.2,0.197,43,41,0.3346,0.0292,1,837.15,0.0233,0.1102,True,False
CAMP00001,耐克,运动户外,训练鞋,耐克_0062,耐克耐磨训练鞋,常规场次,2024-07-06,2024-07-10,4,1094.0,856.0,0.218,188,922,0.311,0.0616,56,47938.39,0.2979,0.0773,False,False
CAMP00001,耐克,运动户外,速干T恤,耐克_0084,耐克户外款速干T恤,常规场次,2024-07-06,2024-07-10,4,968.0,742.1,0.233,151,447,0.3003,0.0486,21,15583.09,0.1391,0.0643,False,False
CAMP00001,耐克,运动户外,训练鞋,耐克_0040,耐克百搭训练鞋,常规场次,2024-07-06,2024-07-10,4,316.0,268.9,0.149,325,564,0.13,0.0296,16,4302.5,0.0492,0.0989,False,True
CAMP00001,耐克,运动户外,运动背包,耐克_0064,耐克复古运动背包,常规场次,2024-07-06,2024-07-10,4,667.0,627.7,0.16,461,2013,0.3633,0.0196,39,24479.87,0.0846,0.1424,True,False
CAMP00001,耐克,运动户外,冲锋衣,耐克_0010,耐克复古冲锋衣,常规场次,2024-07-06,2024-07-10,4,220.0,176.7,0.197,250,17,0.3089,0.0513,0,0.0,0.0,0.029,False,False
CAMP00001,耐克,运动户外,速干T恤,耐克_0004,耐克复古速干T恤,常规场次,2024-07-06,2024-07-10,4,547.0,391.8,0.284,133,879,0.3439,0.0617,54,21159.23,0.406,0.0658,False,False
CAMP00001,耐克,运动户外,运动背包,耐克_0050,耐克云感运动背包,常规场次,2024-07-06,2024-07-10,4,642.0,464.8,0.276,89,220,0.2875,0.0557,12,5577.13,0.1348,0.0659,False,False
CAMP00001,耐克,运动户外,运动背包,耐克_0036,耐克暖阳运动背包,常规场次,2024-07-06,2024-07-10,4,405.0,357.5,0.212,543,873,0.1432,0.0108,9,3217.42,0.0166,0.1547,True,True
CAMP00001,耐克,运动户外,泳装,耐克_0079,耐克轻氧泳装,常规场次,2024-07-06,2024-07-10,4,887.0,648.5,0.269,169,459,0.3071,0.0491,22,14268.09,0.1302,0.08,False,False
CAMP00001,耐克,运动户外,运动背包,耐克_0081,耐克新季运动背包,常规场次,2024-07-06,2024-07-10,4,734.0,681.9,0.171,223,4248,0.2752,0.0182,77,52507.25,0.3453,0.1311,True,False
